feature,importance
PVOs_12_26_9,0.0038694679698812497
SKEW_30,0.003850715004072623
MASSI_9_25,0.0038437753725268364
VHM_610,0.003838785323123244
AR_26,0.003835718411943929
AROOND_14,0.003809172917142527
ABER_ATR_5_15,0.0037560721492321046
MAD_30,0.0037464415467278983
RWIl_14,0.0037142112969180204
TMO_14_5_3,0.0037007440711614996
STOCHd_14_3_3,0.003696499656869164
STOCHRSId_14_14_3_3,0.0036914741137093273
CCI_14_0.015,0.0036693826576806214
CTI_12,0.003659465509288545
RSX_14,0.0036429765547389553
THERMOma_20_2_0.5,0.0036028455848210344
FISHERT_9_1,0.003600115387578196
PPOh_12_26_9,0.0035991246692807445
EXHC_UPa,0.003596742528359546
BR_26,0.003592809314386144
TSVs_18_10,0.003558475155109695
VAR_30,0.0035482130263969486
ADXR_14_2,0.0035208400479093123
UO_7_14_28,0.003491868272432067
K_9_3,0.003457777911939036
KVOs_34_55_13,0.0034041820635680752
CG_10,0.0033944495696421983
STDEV_30,0.0033931984340345323
ADX_14,0.0033756841053979364
CMO_14,0.0033687227415681587
PPOs_12_26_9,0.0033372513659854193
MOM_10,0.003335863053944677
RSI_14,0.0033341738030841324
ATRr_14,0.0033077312352408337
HWW_1,0.003306494919631154
ROC_10,0.0032931271190470156
RWIh_14,0.0032864362657515143
TRIXs_30_9,0.003283600710993553
BIAS_SMA_26,0.003274094446586365
EOM_14_100000000,0.003228197010311082
NATR_14,0.003176854583981108
PVOL,0.0031612661542857203
TRIX_30_9,0.0031582353924398004
AROONOSC_14,0.0031471922867247347
MACDh_12_26_9,0.003124272949244928
PVIe_255,0.0031201350078984085
INERTIA_20_14,0.0030758376430923373
KSTs_9,0.0030740998874644156
ENTP_10,0.003014297558589497
QQE_14_5_4.236,0.0029997163100417006
TMOs_14_5_3,0.002986322337273918
SQZPRO_20_2.0_20_2.0_1.5_1.0,0.002981543517867381
TRENDFLEX_20_20_0.04,0.0029720258989304467
SMIs_5_20_5_1.0,0.0029597066745052857
SQZ_20_2.0_20_1.5,0.002920828443227802
PVT,0.0029133912136558087
MACDs_12_26_9,0.0029038773180709693
TSV_18_10,0.002883161259753272
UI_14,0.002863930149486488
APO_12_26,0.002846024775031351
QQE_14_5_4.236_RSIMA,0.0028080738351341757
SMI_5_20_5_1.0,0.0027582852572186427
TSI_13_25_13,0.002754546914468712
AO_5_34,0.002694119750447675
TSIs_13_25_13,0.0026594111772956903
TOS_STDEVALL_U_1,0.0026286399591597563
PPO_12_26_9,0.002622084764727933
D_9_3,0.0026019321914789507
QQEs_14_5_4.236,0.0025829598613829707
