feature,importance
AGt_13_8_5,0.0007399332871966795
RMA_10,0.0006967641335893708
AGl_13_8_5,0.0006966373552662843
ATRTSe_14_20_3.0,0.0006327262927655532
ALPHATl_14_1_50_2,0.0005595939621722232
SQZPRO_ON_NORMAL,0.0003976767604458135
AMATe_LR_8_21_2,0.00036904293799253367
SQZ_OFF,0.0003664504798971758
SQZ_ON,0.0003016136171125016
SUPERTd_7_3.0,0.0002627892561840573
SQZPRO_OFF,0.0002478738761597188
PSARr_0.02_0.2,0.0002358126917603447
THERMOl_20_2_0.5,0.00021943608033433043
SQZPRO_ON_WIDE,0.00020442512832833905
CHDLREXTd_22_22_14_2.0,7.237689484642961e-05
SQZPRO_ON_NARROW,0.0
SQZ_NO,0.0
SQZPRO_NO,0.0
TMOM_14_5_3,0.0
TMOMs_14_5_3,0.0
HWPCT_1,0.0
EOM_14_100000000,0.0
